analysis_block,endpoint,feature_set,feature,raw_feature,coef,abs_coef,feature_scope
secondary,Binarized_response,clinical_plus_bio_sbp_plus_pc,cat__ecog_1,ecog,-2.4627037048339844,2.4627037048339844,clinical
secondary,Binarized_response,clinical_plus_bio_sbp_plus_pc,cat__smoking_Ex,smoking,-0.711675763130188,0.711675763130188,clinical
secondary,Binarized_response,clinical_plus_bio_sbp_plus_pc,num__age,age,0.36436814069747925,0.36436814069747925,clinical
secondary,Binarized_response,clinical_plus_bio_sbp_plus_pc,num__bio__patient_cd16_score_mean,bio__patient_cd16_score_mean,3.1244850158691406,3.1244850158691406,immune
secondary,Binarized_response,clinical_plus_bio_sbp_plus_pc,num__pc__NK_PC1,pc__NK_PC1,-1.8771377801895142,1.8771377801895142,immune
secondary,Binarized_response,clinical_plus_bio_sbp_plus_pc,num__pc__effector_CD8_T_PC1,pc__effector_CD8_T_PC1,1.3238343000411987,1.3238343000411987,immune
secondary,Binarized_response,clinical_plus_bio_sbp_plus_pc,num__pc__naive_TCM_CD4_T_PC1,pc__naive_TCM_CD4_T_PC1,-1.2763543128967285,1.2763543128967285,immune
secondary,Binarized_response,clinical_plus_bio_sbp_plus_pc,num__bio__CD14_CD16_SBP_2part_ilr,bio__CD14_CD16_SBP_2part_ilr,1.0988233089447021,1.0988233089447021,immune
secondary,Binarized_response,clinical_plus_bio_sbp_plus_pc,num__bio__LM_SBP_2part_ilr,bio__LM_SBP_2part_ilr,1.032060146331787,1.032060146331787,immune
secondary,Binarized_response,clinical_plus_bio_sbp_plus_pc,num__bio__patient_cd14_score_mean,bio__patient_cd14_score_mean,0.48563674092292786,0.48563674092292786,immune
secondary,Binarized_response,clinical_plus_bio_sbp_plus_pc,num__pc__CD14_Mono_PC2,pc__CD14_Mono_PC2,0.24834276735782623,0.24834276735782623,immune
secondary,Binarized_response,clinical_plus_bio_sbp_plus_pc,num__pc__effector_CD8_T_PC2,pc__effector_CD8_T_PC2,0.24361057579517365,0.24361057579517365,immune
secondary,Binarized_response,clinical_plus_bio_sbp_plus_pc,num__pc__NK_PC2,pc__NK_PC2,-0.17032496631145477,0.17032496631145477,immune
secondary,Binarized_response,clinical_plus_bio_sbp_plus_pc,num__pc__naive_TCM_CD4_T_PC2,pc__naive_TCM_CD4_T_PC2,-0.10894085466861725,0.10894085466861725,immune
